device,case,input_or_scope,expected,actual,status,verification_method,ci_job_id,limitations_or_provenance
M51,SUBTRACTION,9-4,5,5,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,MULTIPLICATION,6x7,42,42,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,DIVISION,8/2,4,4,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,DECIMAL-SUM,1.5+2.25,3.75,3.75,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,NEGATIVE,3-8,-5,-5,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,DECIMAL-DIVISION,9/4,2.25,2.25,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,SUBTRACTION,9-4,5,5,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,MULTIPLICATION,6x7,42,42,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,DIVISION,8/2,4,4,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,DECIMAL-SUM,1.5+2.25,3.75,3.75,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,NEGATIVE,3-8,-5,-5,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
RN9,DECIMAL-DIVISION,9/4,2.25,2.25,PASS,Real UI interaction + result XML + private screenshot,,Direct run; no CI Job ID
M51,30-minute controlled CI stress,App functional state,Bounded case passes,"1801.91s, 97 samples, 13 workload receipts",PASS,CI Lab receipt + private evidence,225,Case-specific claim only
RN9,30-minute controlled CI stress,App functional state,Bounded case passes,"1801.60s, 120 samples, 14 workload receipts",PASS,CI Lab receipt + private evidence,235,Case-specific claim only
M51,Home to return lifecycle,App functional state,Bounded case passes,"Home navigation and return, PID unchanged",PASS,CI Lab receipt + private evidence,230,Case-specific claim only
RN9,Home to return lifecycle,App functional state,Bounded case passes,"Home navigation and return, PID unchanged",PASS,CI Lab receipt + private evidence,231,Case-specific claim only
M51,Cold-start process-absent check,App functional state,Bounded case passes,Process absent before launch; launch completed,PASS,CI Lab receipt + private evidence,228,Case-specific claim only
M51,ADDITION,7+8,15,15,PASS,Earlier real UI XML + screenshot,,Earlier independent direct run; not repeated in release
M51,STATIC_ACCESSIBILITY,16 labeled buttons and bounds >=48dp,16 labels / 16 bounds,16/16 each,PASS_STATIC_ONLY,Earlier UI XML,,Not a TalkBack speech or WCAG audit
M51,CRASH_ANR_SAMPLE,Recent target-app logs in short window,No matching sampled marker,27.8s,OBSERVED_ONLY,Earlier bounded log sample,,Does not demonstrate crash-free app
M51,TalkBack spoken output,Manual accessibility validation,Readable spoken button labels in sampled Calculator traversal,User heard and confirmed correct spoken names of Calculator controls; no audio capture,USER_VERIFIED_SAMPLE,Live TalkBack on real M51; user listening and verbal confirmation,,"Only reported session and buttons; not all views, locales or WCAG compliance"
M51,Screen-reader focus order,Manual accessibility validation,Controls encountered through swipe navigation,"User recited extended sequential labels through number, operator and toolbar controls",USER_REPORTED_SEQUENCE,Live user TalkBack traversal narrative; UI hierarchy checked separately,,Per-swipe accessibility focus events and full deterministic order not recorded
M51,Measured color contrast,Manual accessibility validation,Not assessed,Not assessed,NOT_RUN,No authorized live assistive-tech/contrast procedure,,Do not claim conformance
RN9,ADDITION,7+8,15,15,PASS,Earlier real UI XML + screenshot,,Earlier independent direct run; not repeated in release
RN9,STATIC_ACCESSIBILITY,16 labeled buttons and bounds >=48dp,16 labels / 16 bounds,16/16 each,PASS_STATIC_ONLY,Earlier UI XML,,Not a TalkBack speech or WCAG audit
RN9,CRASH_ANR_SAMPLE,Recent target-app logs in short window,No matching sampled marker,27.2s,OBSERVED_ONLY,Earlier bounded log sample,,Does not demonstrate crash-free app
RN9,TalkBack spoken output,Manual accessibility validation,Speech output during sampled Calculator use,User confirmed TalkBack now speaks and works well after Google TTS installation; no audio captured,USER_VERIFIED_SAMPLE,Official Android Accessibility Suite + Google TTS service bound; user directly listened and confirmed,,"No transcript for RN9, full per-swipe focus order and WCAG audit not verified; no CI Job ID"
RN9,Screen-reader focus order,Manual accessibility validation,Not assessed,Not assessed,NOT_RUN,No authorized live assistive-tech/contrast procedure,,Do not claim conformance
RN9,Measured color contrast,Manual accessibility validation,Not assessed,Not assessed,NOT_RUN,No authorized live assistive-tech/contrast procedure,,Do not claim conformance
RN9,COLD_START,Verified process-absent cold launch,Process absent before app launch; process present afterward,PASS; Android TotalTime 316ms; host-inclusive 623ms,PASS,Approved target-only force-stop followed by process-absent launcher; UI XML and PNG SHA-256 validated,,"Separate direct run, no CI Job ID; single sample, not a benchmark"
RN9,SAMPLED_CONTRAST_RESULT,One foreground/background pixel pair,Not a whole-screen threshold or compliance test,20.47:1,OBSERVED_ONLY,Cropped screenshot RGB pixel + relative luminance formula,,2 sampled pairs/device only; entire-screen WCAG/TalkBack/focus NOT_RUN
RN9,SAMPLED_CONTRAST_PERCENT,One foreground/background pixel pair,Not a whole-screen threshold or compliance test,12.55:1,OBSERVED_ONLY,Cropped screenshot RGB pixel + relative luminance formula,,2 sampled pairs/device only; entire-screen WCAG/TalkBack/focus NOT_RUN
M51,SAMPLED_CONTRAST_RESULT,One foreground/background pixel pair,Not a whole-screen threshold or compliance test,16.63:1,OBSERVED_ONLY,Cropped screenshot RGB pixel + relative luminance formula,,2 sampled pairs/device only; entire-screen WCAG/TalkBack/focus NOT_RUN
M51,SAMPLED_CONTRAST_PERCENT,One foreground/background pixel pair,Not a whole-screen threshold or compliance test,9.54:1,OBSERVED_ONLY,Cropped screenshot RGB pixel + relative luminance formula,,2 sampled pairs/device only; entire-screen WCAG/TalkBack/focus NOT_RUN
M51,TALKBACK_SERVICE_BIND,"Temporary approved activation, then baseline restored",Service active and settings restored,Service present in dumpsys; all 3 original secure values restored,OBSERVED_ONLY,Temporary secure setting isolation + dumpsys + post-restore read-back,,"No spoken-audio verification, no screen-reader focus-order validation or WCAG conformance"
M51,POSSIBLE_UNLABELED_FOCUS_TARGET,One reported Unlabeled announcement,Investigate exact focused element,User clarified Unlabeled was heard after touching blank space rather than a Calculator button; unnamed focusable ScrollView seen in earlier static XML,USER_CLARIFIED_NON_BUTTON,User report + bounded live UI XML inspection,,"User explanation only, not an independently mapped accessibility-focus event or a confirmed app defect"
M51,ZERO_DIVIDEND,0÷5,0,0,PASS,Real Calculator UI tap + verified XML and private PNG SHA256,,Direct test; no CI Job ID; single scenario on this device
M51,MULTI_DIGIT_MULTIPLICATION,12×12,144,144,PASS,Real Calculator UI tap + verified XML and private PNG SHA256,,Direct test; no CI Job ID; single scenario on this device
M51,ZERO_DIVISOR_OBSERVATION,9÷0 then equals,Record actual behavior; no assumed error-message requirement,"{'formula': '', 'result': '9÷0'}",OBSERVED_ONLY,Real Calculator UI + XML and private screenshot,,UI retained 9÷0; not independently judged mathematically correct error handling
M51,AFTER_ZERO_DIVISOR_RECOVERY,Clear expression; 2+2 then equals,4,4,PASS,Same app PID throughout + real UI XML and screenshot,,Single recovery cycle after 9÷0; does not prove all malformed inputs handled
M51,ALL_VISIBLE_KEYS_LABEL_STATIC,Current Calculator main screen labels,20 visible calculator keys with name,20/20 keys named; 23/24 focusable/clickable nodes named; unnamed focusable ScrollView,PASS_STATIC_ONLY,Live read-only XML from device with SHA256,,Container could be announced as Unlabeled; no full speech/focus/WCAG verdict
